City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Vila Franca do Campo
179,Sakakah,SA,74.77,clear sky,29.9697,40.2064,Sakaka
181,Kushima,JP,62.29,overcast clouds,31.4583,131.2333,Kushima
187,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Pandeglang
192,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Vieux Grand Port
193,Isangel,VU,72.05,overcast clouds,-19.55,169.2667,Isangel
194,Tres Arroyos,AR,73.65,scattered clouds,-38.3739,-60.2798,Tres Arroyos
198,Bandarbeyla,SO,77.61,scattered clouds,9.4942,50.8122,Bandarbeyla
199,Kanniyakumari,IN,79.81,overcast clouds,8.0833,77.5667,Agasteeswaram
201,Wattegama,LK,74.25,moderate rain,6.7989,81.4808,Wattegama
210,Richmond West,US,75.02,overcast clouds,25.6105,-80.4297,West End
213,Faanui,PF,79.9,few clouds,-16.4833,-151.75,Vaitape
216,Areka,ET,62.37,few clouds,7.0667,37.7,Areka
217,Kroya,ID,77.58,overcast clouds,-7.6331,109.2461,Kebasen
221,Rocha,UY,65.88,overcast clouds,-34.4833,-54.3333,Rocha
222,Diamantino,BR,75.36,overcast clouds,-14.4086,-56.4461,Diamantino
223,Karratha,AU,77.38,scattered clouds,-20.7377,116.8463,Karratha
224,Kahului,US,78.84,few clouds,20.8947,-156.47,Kahului
225,Kiunga,PG,73.4,overcast clouds,-6.1219,141.2906,Kiunga
227,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Maha'ena
230,Phan Thiet,VN,76.59,overcast clouds,10.9333,108.1,Phan Thiet
238,Ishigaki,JP,77.99,broken clouds,24.3448,124.1572,Ishigaki
240,Olavarria,AR,67.01,overcast clouds,-36.8927,-60.3225,Olavarría
246,Mawlaik,MM,69.48,clear sky,23.6333,94.4167,Mawlaik
248,Kambove,CD,76.75,scattered clouds,-10.8764,26.5969,Kambove
249,Oranjemund,,61.57,broken clouds,-28.55,16.4333,Oranjemund
251,Uthal,PK,78.17,clear sky,25.8072,66.6219,Uthal
252,Sur,OM,77.22,clear sky,22.5667,59.5289,Sur
255,Yanam,IN,79.2,overcast clouds,16.7333,82.2167,Yanam
256,Santa Cruz,BO,71.65,broken clouds,-17.8,-63.1667,Santa Cruz de la Sierra
269,San Patricio,US,68.85,clear sky,28.017,-97.5169,Sinton
272,Lahaina,US,78.8,clear sky,20.8783,-156.6825,Lahaina
273,Peniche,PT,62.08,clear sky,39.3558,-9.3811,"Peniche, Portugal"
275,Port Hedland,AU,78.85,few clouds,-20.3167,118.5667,Port Hedland
276,Port Elizabeth,ZA,65.1,overcast clouds,-33.918,25.5701,Gqeberha
277,Cabadiangan,PH,78.15,broken clouds,9.7531,122.4739,Sipalay
284,Karpathos,GR,67.96,clear sky,35.507,27.2132,Karpathos
285,Warri,NG,78.98,overcast clouds,5.5167,5.75,Warri
289,Boende,CD,78.17,scattered clouds,-0.2167,20.8667,
290,Kapit,MY,73.89,overcast clouds,2.0167,112.9333,Kapit
292,Dingle,PH,76.96,moderate rain,10.9995,122.6711,Pototan
293,Poum,NC,73.51,overcast clouds,-20.2333,164.0167,Poum
297,Corinto,GR,71.83,overcast clouds,37.9407,22.9573,Corinth
298,Richards Bay,ZA,70.45,light rain,-28.783,32.0377,Richards Bay
304,Walvis Bay,,72.55,broken clouds,-22.9575,14.5053,Walvis Bay
306,Buala,SB,79.99,light rain,-8.145,159.5921,Buala
308,Alyangula,AU,76.87,scattered clouds,-13.8483,136.4192,Alyangula
309,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Mahebourg
311,Yabelo,ET,63.16,light rain,4.8833,38.0833,Yebelo
314,Banda Aceh,ID,76.98,heavy intensity rain,5.5577,95.3222,Banda Aceh
316,Boyuibe,BO,66.11,overcast clouds,-20.4167,-63.2833,Boyuibe
317,Tura,IN,63.1,few clouds,25.5198,90.2201,Tura
