City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
143,Pevek,RU,69.7008,170.3133,-5.03,89,90,7.65,overcast clouds,2021-11-06 16:38:51
144,Moose Factory,CA,51.2585,-80.6094,50.0,62,1,17.27,clear sky,2021-11-06 16:38:51
145,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,87,90,18.41,overcast clouds,2021-11-06 16:38:52
146,Alice Springs,AU,-23.7,133.8833,69.35,94,75,5.75,broken clouds,2021-11-06 16:38:52
147,Soe,ID,-9.8607,124.284,69.58,90,29,3.0,scattered clouds,2021-11-06 16:38:52
148,Sulmona,IT,42.0479,13.9291,59.07,98,100,3.44,overcast clouds,2021-11-06 16:38:53
149,Mus,TR,39.0,41.75,48.99,47,0,4.34,clear sky,2021-11-06 16:38:53
150,Chuy,UY,-33.6971,-53.4616,66.81,53,97,14.43,overcast clouds,2021-11-06 16:38:53
151,Lebu,CL,-37.6167,-73.65,58.39,76,44,12.06,scattered clouds,2021-11-06 16:38:53
152,Lethem,GY,3.3803,-59.7968,94.03,41,98,9.6,overcast clouds,2021-11-06 16:38:54
153,Hobyo,SO,5.3505,48.5268,81.25,65,23,11.43,few clouds,2021-11-06 16:38:54
154,Olinda,BR,-8.0089,-34.8553,87.53,58,20,11.5,few clouds,2021-11-06 16:38:54
155,Esperance,AU,-33.8667,121.9,49.84,74,0,4.59,clear sky,2021-11-06 16:38:55
156,Cidreira,BR,-30.1811,-50.2056,70.61,82,86,12.03,overcast clouds,2021-11-06 16:38:55
157,Ostrovnoy,RU,68.0531,39.5131,35.35,100,100,14.07,overcast clouds,2021-11-06 16:38:55
158,Kalety,PL,50.5627,18.8926,46.27,70,20,4.61,few clouds,2021-11-06 16:38:56
159,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,90.82,55,92,2.8,light rain,2021-11-06 16:38:56
160,Provideniya,RU,64.3833,-173.3,7.88,81,6,6.49,clear sky,2021-11-06 16:38:57
161,Varberg,SE,57.1056,12.2508,51.24,93,100,19.24,moderate rain,2021-11-06 16:38:57
162,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,90,13.8,overcast clouds,2021-11-06 16:38:57
163,Siyabuswa,ZA,-25.1132,29.0445,79.88,43,69,10.47,light rain,2021-11-06 16:38:58
164,Agadez,NE,19.75,10.25,82.54,11,3,6.04,clear sky,2021-11-06 16:38:58
165,Saint-Paul,RE,-21.0096,55.2707,77.11,95,5,1.99,clear sky,2021-11-06 16:38:59
166,Tuatapere,NZ,-46.1333,167.6833,50.83,93,66,1.14,broken clouds,2021-11-06 16:38:59
167,Paso De Los Toros,UY,-32.8167,-56.5167,68.34,51,12,11.77,few clouds,2021-11-06 16:38:59
168,Hermanus,ZA,-34.4187,19.2345,63.9,63,62,8.23,broken clouds,2021-11-06 16:38:59
169,Dikson,RU,73.5069,80.5464,15.91,92,100,15.48,overcast clouds,2021-11-06 16:39:00
170,San Juan,AR,-31.5375,-68.5364,72.3,22,2,2.77,clear sky,2021-11-06 16:39:00
171,Paamiut,GL,61.994,-49.6678,30.15,84,100,9.15,light snow,2021-11-06 16:39:01
172,Gat,IL,31.61,34.7642,77.68,55,47,4.81,scattered clouds,2021-11-06 16:35:01
173,Rabaul,PG,-4.1967,152.1721,78.64,76,58,6.78,broken clouds,2021-11-06 16:39:01
174,Kostomuksha,RU,64.571,30.5767,33.93,81,100,8.01,overcast clouds,2021-11-06 16:39:02
175,Qandala,SO,11.472,49.8728,80.35,56,9,6.22,clear sky,2021-11-06 16:39:03
176,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,60,20,13.8,few clouds,2021-11-06 16:39:03
177,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,74,49,15.03,scattered clouds,2021-11-06 16:39:04
178,Barrow,US,71.2906,-156.7887,12.22,85,1,17.27,clear sky,2021-11-06 16:34:44
179,Sakakah,SA,29.9697,40.2064,74.77,28,0,8.88,clear sky,2021-11-06 16:39:05
180,Cockburn Town,TC,21.4612,-71.1419,82.94,76,32,17.54,scattered clouds,2021-11-06 16:39:05
181,Kushima,JP,31.4583,131.2333,62.29,88,100,8.28,overcast clouds,2021-11-06 16:39:06
182,Pimenteiras,BR,-6.2453,-41.4192,94.32,36,74,9.64,broken clouds,2021-11-06 16:39:06
183,Butaritari,KI,3.0707,172.7902,81.79,71,100,14.97,overcast clouds,2021-11-06 16:39:07
184,Coahuayana,MX,18.7333,-103.6833,86.79,59,96,1.79,overcast clouds,2021-11-06 16:39:07
185,Grindavik,IS,63.8424,-22.4338,37.35,93,75,14.97,light intensity drizzle,2021-11-06 16:39:07
186,Samarai,PG,-10.6167,150.6667,82.2,77,53,13.58,broken clouds,2021-11-06 16:39:08
187,Karaton,ID,-6.3424,106.1045,77.16,93,100,4.63,overcast clouds,2021-11-06 16:39:08
188,Santa Rita,BR,-7.1139,-34.9781,88.47,58,75,11.5,broken clouds,2021-11-06 16:39:08
